time;normal;hipox;imm;tum
873;170;1;10;0
874;170;1;10;0
875;170;1;10;0
876;170;1;10;0
877;170;1;10;0
878;170;1;10;0
879;170;1;10;0
880;170;1;10;0
881;170;1;10;0
882;170;1;10;0
883;170;1;10;0
884;170;1;10;0
885;170;1;10;0
886;170;1;10;0
887;170;1;10;0
888;170;1;10;0
889;170;1;10;0
890;170;1;10;0
891;170;1;10;0
892;170;1;10;0
893;170;1;10;0
894;170;1;10;0
895;170;1;10;0
896;170;1;10;0
897;170;1;10;0
898;170;1;10;0
899;170;1;10;0
900;170;1;10;0
901;170;1;10;0
902;170;1;10;0
903;170;1;10;0
904;170;1;10;0
905;170;1;10;0
906;170;1;10;0
907;170;1;10;0
908;170;1;10;0
909;170;1;10;0
910;170;1;10;0
911;170;1;10;0
912;170;1;10;0
913;170;1;10;0
914;170;1;10;0
915;170;1;10;0
916;170;1;10;0
917;170;1;10;0
918;170;1;10;0
919;170;1;10;0
920;170;1;10;0
921;170;1;10;0
922;170;1;10;0
923;170;1;10;0
924;170;1;10;0
925;170;1;10;0
926;170;1;10;0
927;170;1;10;0
928;170;1;10;0
929;170;1;10;0
930;170;1;10;0
931;170;1;10;0
932;170;1;10;0
933;170;1;10;0
934;170;1;10;0
935;170;1;10;0
936;170;1;10;0
937;170;1;10;0
938;170;1;10;0
939;170;1;10;0
940;170;1;10;0
941;170;1;10;0
942;170;1;10;0
943;170;1;10;0
944;170;1;10;0
945;170;1;10;0
946;170;1;10;0
947;170;1;10;0
948;170;1;10;0
949;170;1;10;0
950;170;1;10;0
951;170;1;10;0
952;170;1;10;0
953;170;1;10;0
954;170;1;10;0
955;170;1;10;0
956;170;1;10;0
957;170;1;10;0
958;170;1;10;0
959;170;1;10;0
960;170;1;10;0
961;170;1;10;0
962;170;1;10;0
963;170;1;10;0
964;170;1;10;0
965;170;1;10;0
966;170;1;10;0
967;170;1;10;0
968;170;1;10;0
969;170;1;10;0
970;170;1;10;0
971;170;1;10;0
972;170;1;10;0
973;170;1;10;0
974;170;1;10;0
975;170;1;10;0
976;170;1;10;0
977;170;1;10;0
978;170;1;10;0
979;170;1;10;0
980;170;1;10;0
981;170;1;11;0
982;170;1;11;0
983;170;1;11;0
984;170;1;11;0
985;170;1;11;0
986;170;1;11;0
987;170;1;11;0
988;170;1;11;0
989;170;1;11;0
990;170;1;11;0
991;170;1;11;0
992;170;1;11;0
993;170;1;11;0
994;170;1;11;0
995;170;1;11;0
996;170;1;11;0
997;170;1;11;0
998;170;1;11;0
999;170;1;11;0
1000;170;1;11;0
1001;170;1;11;0
1002;170;1;12;0
1003;170;2;12;0
1004;170;2;12;0
1005;170;2;12;0
1006;170;2;12;0
1007;170;2;12;0
1008;170;2;12;0
1009;170;2;12;0
1010;170;2;12;0
1011;170;2;12;0
1012;170;2;12;0
1013;170;2;13;0
1014;170;2;13;0
1015;170;2;13;0
1016;170;2;13;0
1017;170;2;13;0
1018;170;2;13;0
1019;170;2;13;0
1020;170;2;13;0
1021;170;2;13;0
1022;170;2;13;0
1023;170;2;13;0
1024;170;2;13;0
1025;170;2;13;0
1026;170;2;13;0
1027;170;2;13;0
1028;170;2;13;0
1029;170;2;13;0
1030;170;2;13;0
1031;170;2;13;0
1032;170;2;13;0
1033;170;2;13;0
1034;170;2;13;0
1035;170;2;13;0
1036;170;2;13;0
1037;170;2;13;0
1038;170;2;13;0
1039;170;2;14;0
1040;170;2;14;0
1041;170;2;14;0
1042;171;2;14;0
1043;171;2;14;0
1044;171;2;14;0
1045;171;2;14;0
1046;171;2;14;0
1047;171;2;14;0
1048;171;2;14;0
1049;171;2;14;0
1050;171;2;14;0
1051;171;2;14;0
1052;171;2;14;0
1053;171;2;14;0
1054;171;2;14;0
1055;171;2;14;0
1056;171;2;14;0
1057;171;2;14;0
